标题,价格,销量,店铺,地点,,,
直降1000元【70多家门店自提】Huawei/华为 Mate 20 X全面屏手机,"￥2,198.00",193人付款,手机_小秘,上海,,,
Philips/飞利浦 E183A老人手机大屏大字大声老年手机超长待机双卡双待按键手机语音王全网通电信老人手机正品,￥158.00,1943人付款,金蛇数码专营店,广东 深圳,,,
活动价酷驰 X23水滴屏学生价游戏超薄4G全网通5G安卓智能手机正品,￥388.00,692人付款,叶浅小美女,广东 深圳,,,
OPPO R17水滴屏r17pro全网通双卡oppor17手机r15原装全新oppor15x,"￥1,728.00",178人付款,笨柯磊,广东 深圳,,,
新品上市 vivo Z3i全新手机 vivo手机官网旗舰 正品 新品vivoz3i手机 vivoz3 z3i z1 x9 x10 x20 x30限量版,"￥1,598.00",43人付款,首佳誉数码专营店,广东 东莞,,,
12期免息OPPO A9手机oppo a9全新机oppo k1 a5 a7x a7 opop手机a9,"￥1,399.00",386人付款,oppo品牌企业店,广东 深圳,,,
Sony/索尼 J9110 X1 2019新款索尼Xperia1 国行 港版 港行手机,"￥5,850.00",362人付款,mj913850240,广东 深圳,,,
优惠20元 送蓝牙充电宝延保 Huawei/华为 P10 Plus 全网通4G双卡双待手机支持NFC闪付 华为P10PLUS P10全网通,"￥1,879.00",59人付款,旭翼数码专营店,上海,,,
可减550元【3期免息/送手环/天猫方糖等honor荣耀 荣耀10手机官方旗舰店青春版30/paly/11x/8X max学生价pro,"￥1,799.00",47人付款,同步飞扬数码专营店,广东 深圳,,,
【18个月长质保】Xiaomi/小米 红米7 骁龙632双摄智能拍照水滴屏手机小米官方旗舰正品小米9 红米note7,￥799.00,5500+人付款,苏宁易购官方旗舰店,江苏 南京,,,
【1号0点下单立减100】华为honor/荣耀 荣耀play游戏青春学生智能全面屏全新手机官方旗舰店paly,"￥1,699.00",1543人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6.1日领券减80元+送手环】Xiaomi/小米 红米7手机小米官方旗舰店redmi7A正品5新款note7pro6学生8老人7plus,￥699.00,1331人付款,三际数码官方旗舰店,山东 济南,,,
【领50元优惠券+当天发】选手环Xiaomi/小米RedmiNote7手机红米Note7pro小金刚6官方旗舰店8青春max2红米K20,￥999.00,1100人付款,三际数码官方旗舰店,山东 济南,,,
当天发/免息/减50元Huawei/华为 P20手机华为P20pro官方旗舰店正品mate10华为mate20pro降价华为p30pro,"￥2,688.00",141人付款,能良数码官方旗舰店,上海,,,
现货速发【送无线充/延保】iPhonexsmax Apple/苹果 iPhone XS Max 全网通手机12期分期 苹果max 8 7 P xr xs,"￥7,858.00",108人付款,能良数码官方旗舰店,上海,,,
64G领券减50礼品6选1 中移动Xiaomi/小米 Redmi 7 红米7 骁龙632八核双摄智能拍照手机 官方旗舰店正品,￥749.00,113人付款,中国移动官方旗舰店,浙江 杭州,,,
【送钢化膜】现货速发选电源/手环3 中移动Xiaomi/小米 红米6a手机红米手机7 redmi,￥529.00,283人付款,中国移动官方旗舰店,浙江 杭州,,,
直降200元/128G送200元礼 华为honor/荣耀 荣耀8X 官方旗舰店官网正品手机新品畅享畅玩10青春版V高配降价20i,"￥1,299.00",298人付款,同迅数码专营店,辽宁 大连,,,
128G顺丰分期免息/华为honor/荣耀 荣耀9i降价手机官方旗舰店正品v10 play 9i荣耀10 青春版8x mate20 20i,"￥1,127.00",70人付款,和来达数码专营店,广东 深圳,,,
北京现货华为HUAWEI HUAWEI P30 PRO曲面屏980芯片手机天空之境,"￥5,488.00",268人付款,古龙圣宝,北京,,,
12期免息 新品现货Nokia/诺基亚 X71 全网通全新官网智能手机官方正品旗舰店x6/9/x7洛基亚蔡司认证三摄,"￥2,699.00",40人付款,中国移动手机官方旗舰店,北京,,,
【限时直降400元】OPPO K1 oppok1手机官方正品手机全新机新品超薄oppok1 oppor17 r15x r11 a7x a3 a5 oppo,"￥1,199.00",95人付款,聚宝康数码专营店,广东 深圳,,,
官网OnePlus/一加7pro手机官方旗舰6一加手机7t全新品1+7T骁龙855,"￥2,999.00",65人付款,鲁信数码科技公司,河南 郑州,,,
降价【顺丰现货】honor/荣耀 荣耀play手机正品华为plya官方旗舰店新荣耀piay plαy9i荣耀10 paly v20 8X,"￥1,468.00",29人付款,卓瓦数码专营店,上海,,,
Xiaomi/小米 小米9SE布朗熊限量版小米9se新手机全面屏尊享版plus,"￥1,799.00",172人付款,龙通店,广东 深圳,,,
【爆款直降10元】Nokia/诺基亚 新105 长待机直板按键功能机 经典迷你学生老年老人备用小手机 官方正品,￥139.00,3515人付款,诺基亚手机官方旗舰店,上海,,,
【12期0首付 送无线充 现货当天发】Apple/苹果 iPhone XS Max移动联通电信4G手机 双卡双待苹果 xr x 7正品,"￥7,799.00",35人付款,大唐回浦数码旗舰店,浙江 台州,,,
到手价978起 vivo Z3X手机全新限量版 vivoz3 z z3i y83 y93 z1 u1 z1青春版 vivoz3x手机官方旗舰店bbk,￥998.00,326人付款,vivo欧曙专卖店,江苏 南京,,,
现货Samsung/三星 GALAXY S9+港版全网通4G盖乐世S9 plus曲屏手机,"￥1,306.80",118人付款,爱人丽彤通信,广东 深圳,,,
Apple/苹果 iPhone XR有锁无锁 iphonexr国行港版美版 苹果XR手机,"￥3,368.00",203人付款,伟你是问,上海,,,
【红色到货/顺丰速发/送好礼】Huawei/华为 nova 2s手机官方旗舰店官网p30pro新品nova4e降价nova3正品mate20,"￥1,348.00",58人付款,创汇通达数码旗舰店,北京,,,
现货Xiaomi/小米 小米9透明尊享版SE手机星全面屏plus旗舰骁龙855,"￥2,829.00",581人付款,年年盛商贸,河南 郑州,,,
Apple/苹果 iPhone 8 Plus 苹果8plus手机 iphone8x 8p国行三网,"￥3,247.20",56人付款,优一贸易,广东 深圳,,,
Philips/飞利浦 E212A 移动联通2G 翻盖老年手机超长待机经典手机大字大声大屏,￥289.00,367人付款,飞利浦官方旗舰店,上海,,,
【12期免息】OPPO Reno 10倍变焦版opporeno手机限量版全新机oppor17 r19 r15x a7x 0pp0reno0ppo十findx未来,"￥3,999.00",11人付款,聚宝康数码专营店,广东 深圳,,,
酷驰 X23水滴屏学生价超薄大屏游戏安卓智能电信全网通手机正品,￥388.00,1443人付款,地球上的智商人,广东 深圳,,,
Apple/苹果 iPhone XR xr 6.1寸 苹果手机XR双卡国行港版当天发货,"￥3,520.00",197人付款,钓鱼岛就是中国领土,湖北 武汉,,,
【至高降400】OPPO A5 oppoa5手机全新机 官方正品 oppo新品 a5 r17 a3 a1 a7x a83 超薄限量版 oppo find X,￥799.00,204人付款,oppo金谷专卖店,广东 深圳,,,
OPPO R11全国联保OPPOR11S新年红色18K镀金手机美颜r11plus R9S,￥890.00,785人付款,缘落花开0102,北京,,,
华为honor/荣耀 荣耀8全新全网通电信正品 9青春版8x智能4G手机,￥739.00,1453人付款,缤琪斯,广东 深圳,,,
顺丰分期免息Huawei/华为 麦芒7手机降价官方旗舰店官网正品/mate 10/nova4畅享9plus 麦芒七 8新品 4 5 6,"￥1,468.00",100人付款,和来达数码专营店,广东 深圳,,,
现货速发+分期免息】Lenovo/联想 Z6 青春版手机官方旗舰正品官网北斗双频定位骁龙710全网通智能手机 z5 z5s,"￥1,099.00",44人付款,卓瓦数码专营店,上海,,,
免息送好礼Meizu/魅族 16th 魅族官方旗舰店新骁龙845全网通4G手机全面屏官网正品魅族plus魅族16,"￥2,068.00",22人付款,久汇数码专营店,广东 深圳,,,
顺丰速发送耳机】Nokia/诺基亚 新105直板老人机迷你小学生备用手机官方旗舰店超长待机老年非智能儿童经典款,￥139.00,3298人付款,京联通达数码旗舰店,北京,,,
优惠330元【免息送料理机等】honor荣耀 荣耀8X 官方旗舰店手机正品v10/9官网8x max畅玩8x千元学生机降价11x,"￥1,299.00",119人付款,同步飞扬数码专营店,广东 深圳,,,
vivo X9S全网通2000万双摄美颜vivo X9双卡手机vivox9s Plus正品,"￥1,000.00",784人付款,juedueilingdu_2008,浙江 杭州,,,
Sony/索尼 Xperia XZ Premium 索尼XZP 镜面手机 g8142 港版4K屏,"￥1,580.00",200人付款,终极者11,广东 深圳,,,
直降1580元当天发Huawei/华为 Mate 20正品手机mate20pro mate20x,"￥2,798.00",158人付款,国货平价网,广东 深圳,,,
正品 格力手机3代 G0335D 格力2代手机G0215D 格力色界G0245D,"￥1,458.00",289人付款,百佳131,广东 珠海,,,
OPPO A7 全面屏拍照手机水滴屏AI美颜夜景渐变机身学生智能4G全网通oppoa7a57a1清新粉 4+64GB,"￥1,499.00",110人付款,oppo官方旗舰店,广东 东莞,,,
魅族16X【64G汝窑白现货】Meizu/魅族 16 x骁龙710手机16s x816XS,"￥1,498.00",521人付款,阿凡提商城,河南 郑州,,,
K-Touch/天语 8848正品全网通4G老年机移动电信版大屏大字大声老人智能手机超长待机手写男女款超薄学生手机,￥468.00,291人付款,博科雅创数码专营店,广东 深圳,,,
6G运存高配版+12期分期免息/华为荣耀10青春版智能手机官方旗舰店全面屏官网8x正品手机9i降价v9荣耀10新品20,"￥1,699.00",33人付款,博海宇通数码专营店,北京,,,
【12期免息+移动电源】OPPO Reno 10倍变焦版opporeno高通骁龙855全网通官方旗舰正品手机opporeno R17 pro,"￥4,799.00",12人付款,oppo熊鑫专卖店,上海,,,
Philips/飞利浦 E259S 翻盖老人机 移动联通2G 大屏超长待机老年手机男女款移动 双卡双待按键学生备用机,￥319.00,306人付款,飞利浦官方旗舰店,上海,,,
三星galaxy a70手机降价 Samsung/三星 Galaxy A70 SM-A7050 a60,"￥1,225.00",190人付款,京成数码商贸,北京,,,
Huawei/华为 P10全网通P10plus高配降价正品原封智能指纹解锁手机,￥910.00,251人付款,创意想象,广东 深圳,,,
【爆款直降900 买赠好礼】Nokia/诺基亚 7 Plus 6+64GB全面屏大屏 4G全网通手机 蔡司认证前后三摄 官方正品,"￥1,599.00",143人付款,诺基亚手机官方旗舰店,上海,,,
【分期免息】Apple/苹果 iPhone 8 Plus 苹果8代国行美版8p X手机,"￥2,750.00",105人付款,卓粤大世界,广东 深圳,,,
AGM X3 Turbo骁龙845旗舰三防智能手机军工全网通双卡双待超长待机战狼IP68手机,"￥3,799.00",33人付款,agm手机旗舰店,广东 深圳,,,
【官网同步现货】honor/荣耀 荣耀magic 2全视屏手机荣耀magic2,"￥2,288.00",49人付款,e酷手机网,北京,,,
魅族Note9当天发【直降120元选手环/手柄/游戏机】Meizu/魅族 note9手机官方旗舰店魅族note8 x816x魅蓝note9,"￥1,348.00",121人付款,魅族晓亚专卖店,河南 郑州,,,
【抢券立减100 6.1日加赠好礼】OPPO R15x 全网通全面屏4G手机全新官方正品旗舰店oppor15x冰萃银 6+128GB,"￥1,699.00",190人付款,苏宁易购官方旗舰店,江苏 南京,,,
【12期分期免息】Apple/苹果 iPhone XR 移动联通电信全网通4G手机双卡双待 苹果iPhonexr,"￥5,988.00",673人付款,苏宁易购官方旗舰店,江苏 南京,,,
可减284/当天发/Huawei/华为 畅享9S 全网通官网官方旗舰店正品手机9s荣耀8x免息mate20新款p30pro畅想9Plus,"￥1,499.00",415人付款,三际数码官方旗舰店,山东 济南,,,
直降300元+送手环/华为honor/荣耀 荣耀10 GT游戏加速全面屏官方旗舰店v20手机正品11x官网paly降价v10青春i,"￥1,799.00",196人付款,三际数码官方旗舰店,山东 济南,,,
3729起！12期分期/现货+送壳膜！中移动Apple/苹果 iPhone 8 全网通手机原封国行 苹果8手机xr max,"￥3,729.00",2人付款,中国移动官方旗舰店,浙江 杭州,,,
领券立减50选电源/耳机 中移动Xiaomi/小米 Redmi Note7 Pro全网通4G双摄手机官方旗舰店红米K20 Pro,"￥1,579.00",173人付款,中国移动官方旗舰店,浙江 杭州,,,
咨询减钱/当天发/12期分期Huawei/华为 Mate20X手机官方旗舰店正品pro/华为mate20x降价/P20华为p30pro优惠,"￥4,499.00",45人付款,能良数码官方旗舰店,上海,,,
32G低至6?9元起+送保护壳+钢化膜 Xiaomi/小米 红米6手机红米6a智能正品官方旗舰店6pro老人机6x note5plus 7,￥679.00,365人付款,能良数码官方旗舰店,上海,,,
OUBOO Q98正品路虎三防智能手机全网通军工老年人机超长待机大声,￥369.00,1218人付款,添富数码广场,广东 深圳,,,
【门店有售以旧换新】Apple/苹果 iPhone 7 Plus全网通4G官方正品国行全新未拆封未激活联保苹果7P手机旗舰店,"￥3,668.00",14人付款,飞鸿数码旗舰店,湖南 长沙,,,
【n7pro 64G/128G现货享原装壳膜耳机/选U盾】360 n7Pro全网通手机官方旗舰店官网正品特别版360n7pro骁龙710,￥988.00,186人付款,气樽数码专营店,广东 广州,,,
【6.1限时特惠500】OPPO R17 Pro 全面屏新年版拍照手机屏幕指纹智能美颜学生4G全网通oppor17,"￥4,299.00",27人付款,oppo官方旗舰店,广东 东莞,,,
12期分期/低至3148起/送壳膜+运费险/Apple/苹果 iPhone 7全网通4G手机国行7正品未激活iPhone7pus 8p 6s,"￥3,088.00",24人付款,环球机库官方旗舰店,江苏 扬州,,,
㊣现货直降500元 vivo iQOO全面屏4G电竞游戏手机骁龙855艾酷iq00,"￥1,928.00",155人付款,andy468iy,江苏 南京,,,
直降100分期免息/华为honor/荣耀 畅玩8C 华为手机降价官方旗舰店正品官网畅享8X 8A 7c 10青春版play 7X 6X,￥779.00,231人付款,和来达数码专营店,广东 深圳,,,
现货顺丰速发中兴天机 AXON 10 Pro八曲面水滴全面屏4800万超广角AI三摄骁龙855 A2020 Pro全网通4G智能手机,"￥3,689.00",41人付款,民讯通数码专营店,北京,,,
【12期免息0首付】vivo X27手机全新机 新品vivox27指纹限量版x23 s1 iqoo x27pro s1pro NEX官方旗舰店官网,"￥3,198.00",73人付款,vivo亮和兄弟专卖店,广东 深圳,,,
1899起Xiaomi/小米 MIX2S手机全网通4G手机骁龙845小米mix2s手机正品官方旗舰小米mix2S手机 有新品小米9 9se,"￥1,899.00",3人付款,岸越数码专营店,上海,,,
【北京现货】Samsung/三星 GALAXY S8 S10e S10+ S10 5G手机,"￥3,399.00",322人付款,北京盛华威科技有限公司,北京,,,
【领券立省300赠手环】vivo NEX 旗舰版全面屏8G运存屏幕指纹智能官方正品手机vivonex apex,"￥4,898.00",12人付款,vivo官方旗舰店,广东 东莞,,,
【分期免息】 Apple/苹果 iPhone X 苹果x iphonex手机全新正品,"￥4,228.00",100人付款,liubingtuan,江苏 南京,,,
【新款上市】OPPO A9xoppoa9x手机新款oppoa9x手机限量超薄oppoa5手机a7x r11oppor15x 0ppok1r9 0pp0a9x,"￥1,999.00",32人付款,oppo平实专卖店,广东 广州,,,
12期免息OPPO Reno手机0pp0手机r17官方新品10倍变焦版opporeno,"￥1,899.00",256人付款,oppo品牌自营店,广东 深圳,,,
【官方正品全新】Huawei/华为 mate9全网通 mate9高配4G手机现货,"￥1,088.00",343人付款,联和pd通讯,广东 深圳,,,
送冰箱/12期免息/送1200礼vivo X27官方旗舰店手机正品 x27vivo全网通 vivox27pro x23 X23z3 iqoo爱酷新品,"￥3,198.00",119人付款,同步飞扬数码专营店,广东 深圳,,,
纽曼 R15超薄迷你卡片手机移动电信小学生手机女生男生非智能戒网瘾手机超长待机可爱儿童直板网红小手机正品,￥135.00,4267人付款,纽曼世腾专卖店,广东 深圳,,,
优惠1051元仅2148起/12期送礼Huawei/华为 nova 3官方旗舰店手机正品新款nova4e官网降价mate20pro/p30pro,"￥2,178.00",27人付款,同步飞扬数码专营店,广东 深圳,,,
官网Xiaomi/小米 Redmi 7 红米7a全面屏7pro官方正品新手机小米7x,￥668.00,1801人付款,龙通店,广东 深圳,,,
DOOV/朵唯 L525 朵喵喵 4+64G 全网通4G 女学生 女性智能拍照自拍美颜手机官方旗舰店,￥699.00,150人付款,朵唯官方旗舰店,广东 深圳,,,
Samsung/三星 Galaxy S10 SM-G9730 三星S10+港行S10E港行手机,"￥4,088.00",184人付款,嘟嘟数码zw,广东 深圳,,,
OPPO Find X oppofindx全新机正品 oppo find x手机8G+128G曲面全面屏双卡双待r17pro未来旗舰限量版兰博基尼,"￥3,999.00",7人付款,oppo熊鑫专卖店,上海,,,
【现货当天发】送充电宝Lenovo/联想 z6 pro骁龙855手机z6青春版,"￥1,088.00",195人付款,abby7313,广东 深圳,,,
OBXIN/欧博信OX2正品6.5英寸水滴屏大屏智能全网通4G手机指纹人脸,￥298.00,527人付款,华米企业店,广东 深圳,,,
YEPEN/誉品 T28手机迷你超小袖珍智能手机安卓全网通4G卡片超薄备用学生男女个性移动电信联通网红抖音同款,￥499.00,302人付款,誉品广联专卖店,广东 深圳,,,
华为nova4HUAWEI Nova 4全网通手机智能正品易烊千玺nova4e全面屏,"￥2,068.00",80人付款,为人民服务668,北京,,,
官网/降价320元HUAWEI 畅享9 官方正品全面屏千元手机畅享8 9plus,￥618.00,2775人付款,龙通店,广东 深圳,,,
【送无线充 到手5028元起 12期分期】Apple/苹果 iPhone XR 全网通手机 移动联通电信版智能4G手机官方旗舰店,"￥5,028.00",14人付款,翼天下天翼电信旗舰店,江苏 南京,,,
【未开封】格力手机二代G0215D色界G0245D格力三代3代 派工系统,"￥1,479.00",500人付款,360数码直营店,山东 济南,,,
【至高省270元】vivo Z1青春版手机全新正品 vivoz1限量版手机 官方旗舰店 vivoz1i Z3 X23 y83 y85 y97 x21,￥949.00,248人付款,茂鹏数码专营店,广东 深圳,,,
